ticker,company_name,country,sector,pref_balanced,ESG_composite,E_score,S_score,G_score,market_cap,profitability_score,debt_to_equity,log_dollar_volume,price_to_book
IONS,"Ionis Pharmaceuticals, Inc.",US,Healthcare,23.05732484076433,39.82123642649436,-1.716715723733531,-0.3478900324279626,0.1312120495033408,12354710528.0,-2.8906126041463294,534.844,18.73979152741536,24.97162
IOSP,Innospec Inc.,US,Basic Materials,48.09922896413007,45.99502980824485,-0.5323388237954465,0.2736683318861468,-0.1222687905705606,1836667648.0,-0.3850410038167768,3.954,16.392170105562126,1.378737
IPAR,"Interparfums, Inc.",US,Consumer Defensive,60.46597385182702,50.52077112590306,0.1469715879656515,0.8037617103863608,-0.9661201227664648,2906024448.0,0.7004212675241263,18.815,16.775867362899312,3.299108
IPCALAB.NS,IPCA LABORATORIES LTD,India,Healthcare,43.38585316795172,44.32992963123158,-0.3182141865185047,-0.4448287388779673,-0.1432920562252768,4057239512.789072,0.0598922304191634,14.425,15.593721939931982,4.563771
ITT,ITT Inc.,US,Industrials,71.14984914515588,64.16178709479286,1.5082253975799444,0.1396563048357897,-0.0270852783320534,17357053952.0,0.2538445993698637,21.196,18.466739125979142,4.0632625
IVZ,Invesco Ltd,US,Financial Services,39.77539389875964,51.18751999965514,-0.5053820614239743,0.1625166930806333,0.0759067138595155,10710285312.0,-1.0688523959659428,17.161,18.57427245106669,1.1026355
JUBLFOOD.NS,JUBILANT FOODWORKS LTD,India,Consumer Cyclical,47.28796513576936,47.15929089602918,-0.2253312523425693,-0.4310937921962131,0.1597453189197465,3126402739.8085403,0.0994457569699285,2.655,16.167654035970244,12.833208
JYOTHYLAB.NS,JYOTHY LABS LIMITED,India,Consumer Defensive,32.42373449547436,45.30866189014133,-0.2681625525550196,-0.3822472783919727,-0.1336560939746395,821956924.7714317,-0.0060317712861454,3.737,14.294683831742384,5.314096
KAYNES.NS,KAYNES TECHNOLOGY IND LTD,India,Technology,32.71203486423064,35.004335028842895,-1.7134443751084667,-0.345674291217758,-0.7246385997467807,2553683515.9728947,-0.1405622983040426,18.899,17.30492078877493,4.9462194
KMX,CarMax Inc,US,Consumer Cyclical,27.167281260476035,51.58491642918456,0.4336118278489719,0.0972036092804139,-0.3123639062119471,6054420992.0,-0.985818284810627,297.523,18.63703575839777,0.97261214
