cv_method,cv_variant,fold,train_csir,test_csir,train_n,test_n,overfit_ratio,weight_concentration_hhi,max_weight,max_weight_factor,return_col_used,n_draws,dirichlet_alpha,w_ESG_composite,w_financial_score,w_market_score,w_operational_score
leave5out,original,12,1.6823263486047324,-0.7930701108650047,271,5,-2.121283258275792,0.5754291624144697,0.7242950273320984,market_score,price_momentum_6m,2000,2.0,0.011876505352616317,0.042801680293631225,0.7242950273320984,0.2210267870216541
leave5out,original,13,1.76847577579624,-0.06729969723775112,271,5,-26.277618637368732,0.6052771516866249,0.7644737162412552,market_score,price_momentum_6m,2000,2.0,0.07791197336358087,0.04441472980454741,0.7644737162412552,0.11319958059061655
leave5out,original,14,1.4990763466410681,0.077170226970515,271,5,19.42557905487661,0.6126301465219096,0.7673913255864883,market_score,price_momentum_6m,2000,2.0,0.11008284967131925,0.01589675052999282,0.7673913255864883,0.10662907421219985
leave5out,original,15,1.5102950060935156,-0.2941237298073156,271,5,-5.1348968258916745,0.609828124744428,0.7683297018743139,market_score,price_momentum_6m,2000,2.0,0.05204004435216003,0.07170554778328363,0.7683297018743139,0.10792470599024245
leave5out,original,16,1.0938797054155196,-1.0814025799629645,271,5,-1.011537909918928,0.6743425651399458,0.8115950174260392,market_score,price_momentum_6m,2000,2.0,0.1054160894992486,0.0649461278947379,0.8115950174260392,0.018042765179974336
leave5out,original,17,1.4917665066565169,-1.0094716020034187,271,5,-1.477769660725178,0.6120133206022063,0.7696846960013065,market_score,price_momentum_6m,2000,2.0,0.09226378070942648,0.0411234985505586,0.7696846960013065,0.09692802473870844
leave5out,original,18,1.3085780261863864,-1.9567549533435402,271,5,-0.668749055172837,0.6329807551925645,0.7835973661515696,market_score,price_momentum_6m,2000,2.0,0.1108364574734112,0.029340670965609772,0.7835973661515696,0.07622550540940945
leave5out,original,19,1.6823263486047315,0.07889854367900653,271,5,21.322653981002475,0.5856636369330228,0.7312715613440284,market_score,price_momentum_6m,2000,2.0,0.023894429466649224,0.02151420305998,0.7312715613440284,0.22331980612934232
leave5out,original,20,1.4973622884405842,-1.1502057499952334,271,5,-1.3018212511778624,0.6806973987811568,0.8170738889507938,market_score,price_momentum_6m,2000,2.0,0.049439166880531,0.037298222701830044,0.8170738889507938,0.09618872146684518
leave5out,original,21,1.5102950060935156,0.007760453244303977,271,5,194.61427562115855,0.6018556313400019,0.7630992444762227,market_score,price_momentum_6m,2000,2.0,0.06545135855419851,0.06908369156492987,0.7630992444762227,0.10236570540464893
leave5out,original,22,1.4559466962650374,0.18240923871346248,271,5,7.98175961774576,0.5648024261090818,0.731913453141577,market_score,price_momentum_6m,2000,2.0,0.05827471964030792,0.0619019669878706,0.731913453141577,0.1479098602302446
leave5out,original,23,1.0785131486309454,-1.085334157606009,271,5,-0.9937152914354621,0.42712734943049574,0.605980213403672,market_score,price_momentum_6m,2000,2.0,0.18860563866093735,0.1429920424610707,0.605980213403672,0.06242210547432002
leave5out,original,24,1.4973622884405844,-0.46015918923568955,271,5,-3.254009316326071,0.6274360198527453,0.7808748720019955,market_score,price_momentum_6m,2000,2.0,0.04510406557310363,0.0712877402126932,0.7808748720019955,0.10273332221220778
leave5out,original,25,1.4323523965880567,0.487232388876335,271,5,2.9397725376947927,0.7105618044542266,0.8350957660144197,market_score,price_momentum_6m,2000,2.0,0.0033722156073716907,0.07304597938849663,0.8350957660144197,0.08848603898971194
leave5out,original,26,1.4559466962650374,-0.7830660067244685,271,5,-1.8592898733289789,0.5552019971598153,0.7227122774197027,market_score,price_momentum_6m,2000,2.0,0.13697670719477853,0.023880501515231908,0.7227122774197027,0.11643051387028694
leave5out,original,27,1.4559466962650374,-0.09456915759997948,271,5,-15.395576472861705,0.5704360490465569,0.7376840361455044,market_score,price_momentum_6m,2000,2.0,0.06484011215031546,0.06299078809377527,0.7376840361455044,0.1344850636104049
leave5out,original,28,1.6823263486047315,-1.6405888962448951,271,5,-1.0254405308715135,0.5867651313177484,0.7405540062397338,market_score,price_momentum_6m,2000,2.0,0.014889139314022058,0.05817233873616261,0.7405540062397338,0.18638451571008163
