ticker,original_rank,bootstrap_mean_rank,bootstrap_std_rank,ci_lower_5,ci_upper_95,p_top_n,ci_width_sampling,ci_width_weights,ci_width,consensus_rank,rank_std,ci_lower,ci_upper,rank_stable,rank_stable_relaxed,rank_stable_strict,rank_stable_moderate
LALPATHLAB.NS,138.0,140.777,17.263929767002644,109.0,173.02499999999998,0.0,20.0,64.025,64.02499999999998,140.777,17.263929767002644,109.0,173.02499999999998,False,True,False,True
TTC,139.0,140.959,13.327014631942145,113.0,164.02499999999998,0.0,21.0,48.0,51.02499999999998,140.959,13.327014631942145,113.0,164.02499999999998,False,True,True,True
AVNT,140.0,133.596,16.391363091579663,105.975,168.0,0.0,23.0,62.025000000000006,62.025000000000006,133.596,16.391363091579663,105.975,168.0,False,True,False,True
FRPT,141.0,139.424,16.254852321691516,109.0,169.0,0.0,23.0,58.0,60.0,139.424,16.254852321691516,109.0,169.0,False,True,False,True
CLF,142.0,142.936,22.086147332660804,101.975,182.0,0.0,26.024999999999977,76.0,80.025,142.936,22.086147332660804,101.975,182.0,False,True,False,True
HONASA.NS,143.0,140.353,15.477350903820719,111.0,168.0,0.0,21.0,55.0,57.0,140.353,15.477350903820719,111.0,168.0,False,True,False,True
ELGIEQUIP.NS,144.0,140.77,13.133358291008436,118.0,165.0,0.0,21.0,47.02499999999998,47.0,140.77,13.133358291008436,118.0,165.0,False,True,True,True
KWR,145.0,141.257,10.677403757468385,121.0,161.0,0.0,21.0,39.0,40.0,141.257,10.677403757468385,121.0,161.0,False,True,True,True
DKS,146.0,139.909,15.197655049381796,112.0,169.0,0.0,19.0,56.0,57.0,139.909,15.197655049381796,112.0,169.0,False,True,False,True
SON,147.0,146.244,12.128333108881863,119.0,166.0,0.0,19.0,45.025000000000006,47.0,146.244,12.128333108881863,119.0,166.0,False,True,True,True
TATAELXSI.NS,148.0,141.266,19.051594263997963,107.0,180.0,0.0,20.0,70.0,73.0,141.266,19.051594263997963,107.0,180.0,False,True,False,True
BIO,149.0,147.002,10.86590981004352,124.0,166.0,0.0,18.0,38.02499999999998,42.0,147.002,10.86590981004352,124.0,166.0,False,True,True,True
SF,150.0,144.104,12.072165671494076,120.975,167.0,0.0,18.0,43.0,46.025000000000006,144.104,12.072165671494076,120.975,167.0,False,True,True,True
WSC,151.0,153.309,25.091622486399718,104.0,197.02499999999998,0.0,21.0,91.025,93.02499999999998,153.309,25.091622486399718,104.0,197.02499999999998,False,True,False,True
