esg_weight,financial_weight,risk_adj_weight,market_weight,operational_weight,mean_score,std_score,score_sharpe,return_sharpe,kendall_vs_base,top10_overlap
0.2,0.25,0.1,0.1,0.1,51.31566255048825,3.700110713998622,13.868682997770561,0.3023624173100543,0.9548022598870055,9
0.15,0.3,0.1,0.1,0.1,51.31702812311773,3.9206517233328135,13.088902494554137,0.3023624173100543,0.9581920903954803,9
0.1,0.35,0.15,0.089,0.089,51.17968697897956,4.097828328161822,12.489465853414234,0.3023624173100543,0.8983050847457626,8
0.1,0.25,0.1,0.122,0.122,51.604071299738465,3.8983338521316124,13.237468430313521,0.3023624173100543,0.9175141242937854,9
0.15,0.25,0.1,0.111,0.111,51.459866925113346,3.788942731364299,13.581590056185895,0.3023624173100543,0.9581920903954803,9
0.15,0.3,0.15,0.089,0.089,51.17832140635007,3.8547499510026055,13.27669033155085,0.30236241731005425,0.9265536723163842,9
0.15,0.35,0.15,0.078,0.078,51.03548260435447,4.00095668376657,12.755819829329718,0.30236241731005425,0.9107344632768362,9
0.15,0.35,0.05,0.1,0.1,51.31289603788973,4.166197933202006,12.316480603988165,0.2565942462098812,0.9254237288135593,9
0.15,0.35,0.1,0.089,0.089,51.1741893211221,4.071734408919005,12.568155036774955,0.2565942462098812,0.9412429378531073,9
0.25,0.15,0.05,0.122,0.122,51.595842496622026,3.489446443117041,14.786254306013662,0.22689034955212128,0.887005649717514,10
0.3,0.2,0.1,0.089,0.089,51.17009260323367,3.4602637456507797,14.787916865028219,0.21528818819783085,0.864406779661017,9
0.25,0.25,0.1,0.089,0.089,51.17145817586315,3.6333460674070643,14.083838210042362,0.21528818819783083,0.9084745762711864,9
0.3,0.3,0.15,0.056,0.056,50.74570828247479,3.670000212263038,13.827167669235818,0.21528818819783083,0.8338983050847457,9
0.25,0.2,0.1,0.1,0.1,51.31429697785878,3.50963656746891,14.620971713149114,0.21528818819783083,0.9028248587570621,9
0.25,0.3,0.15,0.067,0.067,50.889912657099885,3.708995554709216,13.720672323565934,0.21528818819783083,0.880225988700565,9
0.3,0.25,0.15,0.067,0.067,50.8885470844704,3.5244790239587127,14.438601205198342,0.21528818819783077,0.8451977401129943,9
0.25,0.35,0.15,0.056,0.056,50.747073855104276,3.868530130188469,13.117921315329179,0.21528818819783077,0.8598870056497174,9
0.2,0.35,0.15,0.067,0.067,50.891278229729345,3.9241258694227934,12.968819024125276,0.21528818819783077,0.887005649717514,9
0.2,0.3,0.05,0.1,0.1,51.31153046526025,3.931866656687002,13.050170553644975,0.1936177032259822,0.9254237288135593,9
0.2,0.3,0.1,0.089,0.089,51.17282374849262,3.8388021935640717,13.330414323757855,0.1936177032259822,0.9355932203389831,9
0.2,0.25,0.05,0.111,0.111,51.45436926725588,3.7888043575805566,13.580635052572466,0.1936177032259822,0.9457627118644067,10
0.2,0.35,0.1,0.078,0.078,51.029984946497,3.9967578752991186,12.767844972695805,0.1936177032259822,0.9073446327683615,9
0.3,0.25,0.1,0.078,0.078,51.02725380123806,3.5898802306822617,14.214193934297034,0.17100479437229554,0.855367231638418,9
0.3,0.3,0.1,0.067,0.067,50.88441499924241,3.7407409959538422,13.602763477322023,0.17100479437229552,0.8429378531073447,9
0.3,0.35,0.1,0.056,0.056,50.741576197246786,3.9103880336821346,12.976097450914466,0.17100479437229552,0.8135593220338982,9
0.3,0.25,0.05,0.089,0.089,51.165960518005676,3.6823016119547747,13.895103092724218,0.17100479437229552,0.8418079096045198,9
0.3,0.35,0.15,0.044,0.044,50.60286948047915,3.835093085269866,13.194691329271578,0.17100479437229552,0.816949152542373,8
0.25,0.35,0.1,0.067,0.067,50.8857805718719,3.9426866482339156,12.906372002293159,0.17100479437229546,0.8700564971751411,9
0.25,0.35,0.05,0.078,0.078,51.024487288639534,4.041144399126447,12.626246985484263,0.17100479437229546,0.8632768361581921,9
0.25,0.3,0.05,0.089,0.089,51.16732609063514,3.8735078146695985,13.209557986571054,0.17100479437229546,0.8836158192090395,9
0.25,0.25,0.05,0.1,0.1,51.31016489263077,3.7241597405334397,13.777648776124588,0.17100479437229546,0.896045197740113,9
0.2,0.35,0.05,0.089,0.089,51.168691663264624,4.093433839565613,12.500187780595601,0.17100479437229546,0.8971751412429377,9
0.3,0.35,0.05,0.067,0.067,50.88028291401441,4.010130619529387,12.68793656370144,0.17100479437229546,0.8135593220338982,9
0.25,0.3,0.1,0.078,0.078,51.028619373867535,3.778484709821923,13.505048529076081,0.17100479437229543,0.8915254237288135,9
0.3,0.3,0.05,0.078,0.078,51.02312171601006,3.837212823137626,13.296922549362169,0.17100479437229543,0.8350282485875706,9
0.25,0.2,0.05,0.111,0.111,51.45300369462639,3.595379952480963,14.310866827215458,0.17100479437229543,0.903954802259887,10
0.3,0.2,0.05,0.1,0.1,51.3087993200013,3.547756519230978,14.462322608789655,0.17015394438814468,0.8440677966101694,9
0.3,0.15,0.05,0.111,0.111,51.45163812199692,3.435970856261055,14.97441051536973,0.17015394438814468,0.8497175141242937,10
