ticker,share_based_comp_sec,share_based_comp_expense_sec,stock_repurchase_sec,dividends_paid_sec,dividends_common_sec,goodwill_sec,long_term_debt_sec,lt_debt_noncurrent_sec,effective_tax_rate_sec,public_float_sec,shares_outstanding_sec,professional_fees_sec,operating_segments_sec,reportable_segments_sec,employees_sec
GGG,69000000.0,69000000.0,1500000000.0,,1785000000.0,5098000000.0,7682000000.0,6683000000.0,0.227,71900000000.0,288200000.0,,,,
ITT,69000000.0,69000000.0,1500000000.0,,1785000000.0,5098000000.0,7682000000.0,6683000000.0,0.227,71900000000.0,288200000.0,,,,
ALLE,29800000.0,29800000.0,80000000.0,0.0,175300000.0,1912400000.0,1980100000.0,1979900000.0,0.162,12300000000.0,86145484.0,,,2.0,
AAON,17994000.0,17994000.0,,32603000.0,32600000.0,81892000.0,,,0.164,4993400000.0,81499853.0,,,,
KMX,134709000.0,137251000.0,428453000.0,,,141258000.0,18137340000.0,28350000.0,0.252,13133324489.0,152684225.0,,,,
DKS,123667000.0,,347132000.0,,413853000.0,864047000.0,0.0,,0.2563,11281312684.0,,,,,
WSM,7400000.0,100000.0,9100000.0,40300000.0,,40600000.0,5900000.0,400000.0,0.262,367046259.0,38196742.0,,,2.0,
DECK,37943000.0,37943000.0,567002000.0,,,13990000.0,,,0.233,24144731557.0,149435875.0,,,,
GRMN,166003000.0,,74523000.0,663885000.0,,760241000.0,,,0.174,34219000000.0,192480830.0,,,,
LULU,62203000.0,61800000.0,1178349000.0,,,184911000.0,,,0.295,17576000000.0,110482671.0,,,,
CROX,36701000.0,38122000.0,582320000.0,,,404689000.0,11646000.0,1230885000.0,2.113,4800000000.0,50233596.0,,,,
TROW,39048000.0,38667000.0,451224000.0,,0.0,,,0.0,0.285,4185511161.0,44924473.0,,2.0,3.0,
BEN,214800000.0,226600000.0,240300000.0,,683700000.0,6206000000.0,2362000000.0,1850750000.0,0.302,5900000000.0,520970580.0,,1.0,,
ALLY,,80000000.0,59000000.0,289000000.0,379000000.0,190000000.0,17070000000.0,14411000000.0,0.19,12000000000.0,309091700.0,145000000.0,4.0,,
LPLA,62203000.0,61800000.0,1178349000.0,,,184911000.0,,,0.295,17576000000.0,110482671.0,,,,
SEIC,,53555000.0,628135000.0,124198000.0,,354989000.0,,0.0,0.217,9500000000.0,122248132.0,218322000.0,,,
HBAN,113000000.0,130000000.0,0.0,169335000.0,908000000.0,5997000000.0,17221000000.0,,0.171,24100000000.0,2029792391.0,155000000.0,,,
ZION,35000000.0,35000000.0,41000000.0,267000000.0,65000.0,1060000000.0,946000000.0,,0.235,7521166801.0,147888829.0,61000000.0,,,
NOV,67000000.0,67000000.0,315000000.0,,190000000.0,1582000000.0,1718000000.0,1688000000.0,0.597,4600000000.0,360404544.0,,,,
AR,,53000000.0,,,2008000000.0,53000000.0,47322000000.0,44128000000.0,0.034,56119786438.0,540861473.0,,,,
CTRA,29559000.0,63000000.0,141000000.0,170000000.0,682000000.0,,3818000000.0,3568000000.0,0.2414,19200000000.0,759272715.0,,,,
CMC,,,,,,,,,,,,,,,
SEE,39500000.0,41100000.0,0.0,,119200000.0,2900800000.0,3937400000.0,,0.074,4555147401.0,147373648.0,,,,
FMC,510000000.0,,0.0,,2989000000.0,483000000.0,,291000000.0,0.31,42411872532.0,3711858859.0,,3.0,,
